"","Genus","Distance","Region"
"1","Actinoplanes",0.186428571428571,"ANI"
"2","Actinoplanes",0.290887445887446,"Full 16S"
"3","Actinoplanes",0.370693750693751,"V1V3"
"4","Actinoplanes",0.27045177045177,"V3V4"
"5","Actinoplanes",0.365836385836386,"V4"
"6","Actinoplanes",0.326190476190476,"V4V5"
"7","Actinoplanes",0.483085063085063,"V6V8"
"8","Actinoplanes",0.483085063085063,"V6V9"
"9","Azospirillum",0.14761082654959,"ANI"
"10","Azospirillum",0.448103831306601,"Full 16S"
"11","Azospirillum",0.580471026251425,"V1V3"
"12","Azospirillum",0.458022198947789,"V3V4"
"13","Azospirillum",0.461714946576463,"V4"
"14","Azospirillum",0.484143604604624,"V4V5"
"15","Azospirillum",0.44058829383373,"V6V8"
"16","Azospirillum",0.500845818206104,"V6V9"
"17","Cupriavidus",0.152243452553682,"ANI"
"18","Cupriavidus",0.336293486659345,"Full 16S"
"19","Cupriavidus",0.425083159217172,"V1V3"
"20","Cupriavidus",0.480003109865979,"V3V4"
"21","Cupriavidus",0.583791994344756,"V4"
"22","Cupriavidus",0.540081203240234,"V4V5"
"23","Cupriavidus",0.688541110687296,"V6V8"
"24","Cupriavidus",0.664151715493127,"V6V9"
"25","Ensifer",0.109649122807017,"ANI"
"26","Ensifer",0.373621553884712,"Full 16S"
"27","Ensifer",0.457655502392344,"V1V3"
"28","Ensifer",0.507461086927846,"V3V4"
"29","Ensifer",0.524824206264649,"V4"
"30","Ensifer",0.519838056680162,"V4V5"
"31","Ensifer",0.452346776030987,"V6V8"
"32","Ensifer",0.417357988272116,"V6V9"
"33","Massilia",0.112738095238095,"ANI"
"34","Massilia",0.358098739495798,"Full 16S"
"35","Massilia",0.514693978335619,"V1V3"
"36","Massilia",0.417780252155252,"V3V4"
"37","Massilia",0.460219789670254,"V4"
"38","Massilia",0.405626361655773,"V4V5"
"39","Massilia",0.461644897858133,"V6V8"
"40","Massilia",0.469992137205759,"V6V9"
