"Genus","Distance","Region"
"Actinoplanes",0.382190957190957,"Full 16S"
"Actinoplanes",0.449004329004329,"V1V3"
"Actinoplanes",0.365252525252525,"V3V4"
"Actinoplanes",0.442712842712843,"V4"
"Actinoplanes",0.367301587301587,"V4V5"
"Actinoplanes",0.563477633477633,"V6V8"
"Actinoplanes",0.563477633477633,"V6V9"
"Azospirillum",0.478459926914148,"Full 16S"
"Azospirillum",0.574104476653318,"V1V3"
"Azospirillum",0.495373891934359,"V3V4"
"Azospirillum",0.499278977236904,"V4"
"Azospirillum",0.514991724331096,"V4V5"
"Azospirillum",0.475118267495763,"V6V8"
"Azospirillum",0.530392507809273,"V6V9"
"Bacillus",0.76646456206858,"Full 16S"
"Bacillus",0.805535088532724,"V1V3"
"Bacillus",0.884213936683922,"V3V4"
"Bacillus",0.917066829909733,"V4"
"Bacillus",0.915876578354331,"V4V5"
"Bacillus",0.884031261489605,"V6V8"
"Bacillus",0.880687952319611,"V6V9"
"Bradyrhizobium",0.553394944777669,"Full 16S"
"Bradyrhizobium",0.719362744450531,"V1V3"
"Bradyrhizobium",0.786565328610544,"V3V4"
"Bradyrhizobium",0.86290409068452,"V4"
"Bradyrhizobium",0.838506974141848,"V4V5"
"Bradyrhizobium",0.724290657738159,"V6V8"
"Bradyrhizobium",0.687169496952824,"V6V9"
"Burkholderia",0.69109895241113,"Full 16S"
"Burkholderia",0.751107197874355,"V1V3"
"Burkholderia",0.775562950019129,"V3V4"
"Burkholderia",0.899070414881975,"V4"
"Burkholderia",0.894866576409706,"V4V5"
"Burkholderia",0.814683031582812,"V6V8"
"Burkholderia",0.817910186372269,"V6V9"
"Cupriavidus",0.36829940119849,"Full 16S"
"Cupriavidus",0.419157547699659,"V1V3"
"Cupriavidus",0.494068443851915,"V3V4"
"Cupriavidus",0.595595551907688,"V4"
"Cupriavidus",0.541318987070739,"V4V5"
"Cupriavidus",0.695221573741025,"V6V8"
"Cupriavidus",0.679554514927898,"V6V9"
"Ensifer",0.32927993059572,"Full 16S"
"Ensifer",0.422536454773297,"V1V3"
"Ensifer",0.483506970868467,"V3V4"
"Ensifer",0.474851722065344,"V4"
"Ensifer",0.477921897503941,"V4V5"
"Ensifer",0.425571504518873,"V6V8"
"Ensifer",0.394812040068273,"V6V9"
"Enterobacter",0.730884626990534,"Full 16S"
"Enterobacter",0.772096734705992,"V1V3"
"Enterobacter",0.815027137645876,"V3V4"
"Enterobacter",0.921935127216887,"V4"
"Enterobacter",0.9178794842889,"V4V5"
"Enterobacter",0.845042689604521,"V6V8"
"Enterobacter",0.852121805870168,"V6V9"
"Massilia",0.361324404761905,"Full 16S"
"Massilia",0.486056412198053,"V1V3"
"Massilia",0.443243215118215,"V3V4"
"Massilia",0.461516955266955,"V4"
"Massilia",0.432789802789803,"V4V5"
"Massilia",0.460383597883598,"V6V8"
"Massilia",0.473622550694919,"V6V9"
"Mesorhizobium",0.494780362115606,"Full 16S"
"Mesorhizobium",0.648582018571079,"V1V3"
"Mesorhizobium",0.642523982014647,"V3V4"
"Mesorhizobium",0.712109731737736,"V4"
"Mesorhizobium",0.690983571761121,"V4V5"
"Mesorhizobium",0.66073893445563,"V6V8"
"Mesorhizobium",0.637514876291736,"V6V9"
"Pseudomonas",0.733536956695362,"Full 16S"
"Pseudomonas",0.78477279338871,"V1V3"
"Pseudomonas",0.792576246015246,"V3V4"
"Pseudomonas",0.848396793148787,"V4"
"Pseudomonas",0.834319023921358,"V4V5"
"Pseudomonas",0.863676142007477,"V6V8"
"Pseudomonas",0.85234557688326,"V6V9"
"Rhizobium",0.576010026426427,"Full 16S"
"Rhizobium",0.626365972309066,"V1V3"
"Rhizobium",0.74433089297493,"V3V4"
"Rhizobium",0.776721666041118,"V4"
"Rhizobium",0.778162214036598,"V4V5"
"Rhizobium",0.703853134397424,"V6V8"
"Rhizobium",0.69733905995659,"V6V9"
"Serratia",0.681123971683256,"Full 16S"
"Serratia",0.76741252572964,"V1V3"
"Serratia",0.771304964146527,"V3V4"
"Serratia",0.847275746337995,"V4"
"Serratia",0.819731787791835,"V4V5"
"Serratia",0.762529641545803,"V6V8"
"Serratia",0.747877568023943,"V6V9"
"Streptomyces",0.488820107203057,"Full 16S"
"Streptomyces",0.526842462858038,"V1V3"
"Streptomyces",0.688095695869482,"V3V4"
"Streptomyces",0.702919236018195,"V4"
"Streptomyces",0.67457869292987,"V4V5"
"Streptomyces",0.595205714129921,"V6V8"
"Streptomyces",0.574684895434312,"V6V9"
"Xanthomonas",0.736372032992635,"Full 16S"
"Xanthomonas",0.826504588772767,"V1V3"
"Xanthomonas",0.854304461298822,"V3V4"
"Xanthomonas",0.887830088521549,"V4"
"Xanthomonas",0.883961337197483,"V4V5"
"Xanthomonas",0.870019850276375,"V6V8"
"Xanthomonas",0.867518532766278,"V6V9"
"Xylella",0.628140552106918,"Full 16S"
"Xylella",0.760668349892003,"V1V3"
"Xylella",0.839265133086242,"V3V4"
"Xylella",0.832107360489933,"V4"
"Xylella",0.846144123332211,"V4V5"
"Xylella",0.662751035025601,"V6V8"
"Xylella",0.672500352939393,"V6V9"
