genome	cluster_id
104623.6	1
104623.3	1
2741499.12	2
2420306.3	3
615.2349	3
615.102	3
615.2488	3
615.1122	3
615.1123	3
615.1124	3
615.1125	3
615.631	3
1401254.3	3
615.1717	3
615.653	3
615.109	3
615.654	3
615.636	3
615.637	3
615.98	3
615.638	3
615.640	3
615.142	3
615.1119	3
615.519	3
615.2494	3
615.524	3
615.641	3
615.172	3
615.1294	3
615.1293	3
615.1292	3
615.632	3
615.1295	3
615.235	3
615.1370	3
1334564.4	3
615.2505	3
615.2556	3
615.2552	3
615.2545	3
615.2548	3
615.2554	3
615.2555	3
615.2553	3
615.2547	3
615.2551	3
615.2544	3
615.2550	3
615.2549	3
615.2546	3
615.2237	3
615.973	3
615.105	3
615.650	3
615.2239	3
615.1376	3
1758196.3	3
615.1025	3
615.1462	3
615.980	3
615.984	3
615.977	3
615.986	3
615.981	3
615.1296	3
615.439	3
615.446	3
615.520	3
615.1345	3
615.1118	3
615.1746	3
615.2235	3
615.652	3
615.1233	4
1327989.4	4
615.734	4
615.733	4
615.2350	4
615.2490	4
615.1228	4
615.1213	4
615.1291	4
435998.3	4
615.1421	4
615.1234	4
615.2173	4
615.144	4
615.364	4
458197.25	4
458197.18	4
615.2215	4
2785630.3	4
615.1371	4
615.1282	4
615.724	4
615.651	4
615.2196	4
615.2232	4
911022.32	4
911022.70	4
911022.53	4
911022.60	4
911022.64	4
911022.55	4
911022.48	4
911022.59	4
911022.50	4
911022.62	4
911022.41	4
911022.68	4
911022.65	4
911022.46	4
911022.56	4
911022.54	4
911022.43	4
911022.51	4
911022.66	4
911022.49	4
911022.58	4
911022.52	4
911022.44	4
911022.47	4
911022.61	4
911022.45	4
911022.63	4
911022.42	4
911022.67	4
911022.69	4
911022.57	4
615.2313	4
615.525	4
615.1163	4
615.2312	4
2703793.5	4
615.976	4
615.985	4
615.978	4
615.522	4
615.2213	4
615.523	4
615.517	4
615.2214	4
615.1226	4
273526.11	4
615.2236	4
615.974	4
615.2489	4
615.1269	4
615.521	4
2697369.3	4
300181.138	5
488142.4	5
615.518	5
615.633	5
300181.136	5
300181.31	5
300181.134	5
615.1121	5
300181.112	5
300181.32	5
300181.154	5
615.979	5
300181.137	5
2485839.3	5
615.141	5
300181.119	5
1938820.3	5
615.2495	5
615.983	5
300181.3	5
300181.97	5
615.516	5
615.526	5
42906.11	6
42906.9	6
2447890.3	7
61651.3	7
82996.58	8
1154756.11	9
82996.33	9
82996.32	9
768493.3	10
768490.3	10
768492.3	10
82996.66	10
82996.52	10
82996.55	10
82996.62	10
82996.51	10
82996.53	10
82996.56	10
1348660.3	10
1006598.5	10
82996.17	10
82996.18	10
82996.61	10
82996.9	10
82996.45	10
682634.4	10
614.159	11
614.156	11
1346614.3	11
614.9	11
614.8	11
2482769.3	11
614.79	11
614.84	11
82995.6	12
28151.37	13
399741.7	13
137545.6	13
137545.8	13
1249634.3	14
61652.26	14
61652.8	14
61652.34	14
61652.43	14
61652.42	14
2597702.3	15
61652.24	15
2033438.3	15
2773264.3	15
2724469.3	15
61652.35	15
47917.12	16
47917.96	16
47917.42	16
47917.32	16
47917.23	16
47917.45	16
2448483.3	16
47917.8	16
47917.30	16
138074.32	17
618.6	18
