genome	cluster_id
164546.48	1
164546.53	1
164546.31	1
164546.19	1
164546.15	1
164546.43	1
164546.37	1
164546.36	1
164546.21	1
164546.38	1
164546.41	1
164546.29	1
164546.46	1
164546.23	2
164546.51	2
164546.22	2
164546.26	2
164546.24	2
164546.7	2
164546.45	2
164546.14	2
164546.47	3
164546.39	3
164546.35	3
164546.34	3
164546.33	3
164546.61	4
164546.49	4
164546.50	5
164546.44	5
164546.52	5
164546.20	5
164546.25	5
164546.30	6
164546.54	6
164546.40	7
164546.17	8
1796606.3	9
106590.8	10
106590.24	11
381666.45	11
381666.6	11
106590.28	12
106590.25	13
1478019.3	13
1042878.5	13
1304882.4	14
96344.8	15
96344.9	16
96344.12	16
96344.11	16
2608999.4	17
82541.48	18
82541.47	18
82541.46	18
82541.19	18
82541.45	18
1267562.4	18
82541.43	18
82541.44	18
2771360.3	18
82541.39	18
2003588.3	19
119219.46	19
1218106.3	19
119219.14	19
2003587.3	19
119219.17	19
119219.51	19
119219.44	19
266264.9	19
876364.3	20
1389192.3	20
367825.3	20
82633.33	21
1873897.3	21
82633.34	21
82633.13	22
942865.3	23
942865.4	23
1855314.3	24
1855313.3	24
151783.39	25
151783.34	25
1855315.3	26
82633.11	27
2839983.3	28
82633.39	29
248026.4	30
264198.6	30
2871157.10	31
68895.9	32
68895.5	33
